lead_date,lead_id,partner_id,subpartner_id,subpartner_name,lost_reason,source_country_short_name,source_country,state,state_updated,city_name,country_name,partner_state,repeat,repeat_all,singular_id
"August 29, 2025","3,188,905","63,645","63,645",University College London,Parent lead already present,RW,Rwanda,lost,lost,London,United Kingdom,repeat,true,true,
"July 19, 2025","3,079,041","63,645","63,645",University College London,Parent lead already present,GB,United Kingdom,lost,lost,London,United Kingdom,repeat,true,true,
"September 17, 2025","3,236,885","63,645","63,645",University College London,Parent lead already present,LK,Sri Lanka,lost,lost,London,United Kingdom,repeat,true,true,
"July 26, 2025","3,092,880","63,645","63,645",University College London,Booked on Campus,GB,United Kingdom,lost,lost,London,United Kingdom,not_booked,false,false,
"September 16, 2025","3,235,128","63,645","63,645",University College London,Booked a private accommodation,KZ,Kazakhstan,lost,lost,London,United Kingdom,not_booked,false,false,
"August 3, 2025","3,111,387","63,645","63,645",University College London,Booked a private accommodation,GB,United Kingdom,lost,lost,London,United Kingdom,not_booked,false,false,
"July 22, 2025","3,083,397","63,645","63,645",University College London,Parent lead already present,GB,United Kingdom,lost,lost,London,United Kingdom,repeat,true,true,
"September 16, 2025","3,233,654","63,645","63,645",University College London,Parent lead already present,,,lost,lost,London,United Kingdom,repeat,true,true,
"August 21, 2025","3,165,279","63,645","63,645",University College London,Parent lead already present,HK,Hong Kong,lost,lost,London,United Kingdom,repeat,true,true,
"September 15, 2025","3,231,510","63,645","63,645",University College London,Parent lead already present,US,United States,lost,lost,London,United Kingdom,repeat,true,true,
"September 11, 2025","3,222,902","63,645","63,645",University College London,Parent lead already present,CZ,Czechia,lost,lost,London,United Kingdom,repeat,true,true,
"August 2, 2025","3,109,763","63,645","63,645",University College London,Not responded,GB,United Kingdom,lost,lost,London,United Kingdom,not_booked,false,false,
"August 14, 2025","3,141,832","63,645","63,645",University College London,Parent lead already present,GB,United Kingdom,lost,lost,Wembley,United Kingdom,repeat,true,true,
"August 19, 2025","3,156,519","63,645","63,645",University College London,Parent lead already present,GB,United Kingdom,lost,lost,London,United Kingdom,repeat,true,true,
"September 16, 2025","3,234,941","63,645","63,645",University College London,Parent lead already present,CR,Costa Rica,lost,lost,London,United Kingdom,repeat,true,true,
"August 22, 2025","3,169,519","63,645","63,645",University College London,Not responded,PH,Philippines,lost,lost,London,United Kingdom,not_booked,false,true,
"September 12, 2025","3,225,022","63,645","63,645",University College London,Parent lead already present,US,United States,lost,lost,London,United Kingdom,repeat,true,true,
"August 16, 2025","3,147,976","63,645","63,645",University College London,Number not Reachable,GB,United Kingdom,lost,lost,London,United Kingdom,not_booked,false,false,
"August 15, 2025","3,145,080","63,645","63,645",University College London,Parent lead already present,GB,United Kingdom,lost,lost,Wembley,United Kingdom,repeat,true,true,
"August 19, 2025","3,159,145","63,645","63,645",University College London,,GB,United Kingdom,won,won,London,United Kingdom,booked,false,false,
"September 10, 2025","3,219,612","63,645","63,645",University College London,Parent lead already present,GB,United Kingdom,lost,lost,London,United Kingdom,repeat,true,true,
"August 2, 2025","3,110,249","63,645","63,645",University College London,Parent lead already present,,,lost,lost,London,United Kingdom,repeat,true,true,
"July 16, 2025","3,073,127","63,645","63,645",University College London,Not responded,RO,Romania,lost,lost,London,United Kingdom,not_booked,false,false,
"October 24, 2025","3,284,859","63,645","63,645",University College London,,ES,Spain,won,won,London,United Kingdom,booked,false,false,
"August 21, 2025","3,164,835","63,645","63,645",University College London,Booked directly on the property website,GB,United Kingdom,lost,lost,London,United Kingdom,not_booked,false,false,
"July 24, 2025","3,088,046","63,645","63,645",University College London,Not responded,GR,Greece,lost,lost,London,United Kingdom,not_booked,false,false,
"July 23, 2025","3,087,164","63,645","63,645",University College London,Booked through another agent,KR,"Korea, Republic of",lost,lost,London,United Kingdom,not_booked,false,false,
"August 19, 2025","3,156,832","63,645","63,645",University College London,,GB,United Kingdom,won,won,London,United Kingdom,booked,false,false,
"September 1, 2025","3,196,248","63,645","63,645",University College London,Parent lead already present,AU,Australia,lost,lost,London,United Kingdom,repeat,true,true,
"August 17, 2025","3,149,984","63,645","63,645",University College London,Parent lead already present,GB,United Kingdom,lost,lost,London,United Kingdom,repeat,true,true,
